Series Name,Country,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Capital health expenditure (% of GDP),Albania,..,..,..,..,..,..,..,..,..,..,0.00518756,0.00692166,0.00720728,0.01154849,0.0680534,0.01653893,0.06049946,0.02899968,0.32599965,0.37091237,0.44173938,0.36221075,0.20385486,0.14006858,0.14262114,0.13107376,0.14689514,0.14722906,0.16765136,..,..,..,..
Capital health expenditure (% of GDP),Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01103354,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.17567375,0.15879986,0.13449579,0.06903902,0.05238036,0.04990563,0.07309079,0.11930761,0.14139073,0.10919669,0.06971787,0.10289453,..,..,..
Capital health expenditure (% of GDP),Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,0.05830915,0.06740125,0.05455946,0.07071366,0.03797652,0.06620325,0.02528443,0.06844158,0.0660577,0.07154207,0.01508358,0.01308057,0.03277269,..,..,0.04921389,0.14435445,0.00550222,0.02265624,0.02125437,0.00856461,..,..
Capital health expenditure (% of GDP),Argentina,..,..,..,..,..,..,..,..,..,..,..,0.00282551,0.00289711,0.01465814,0.02900673,0.01975768,0.01338378,0.01735669,0.02163509,0.03708528,0.02510831,0.02983253,0.02435402,0.03883833,0.03190604,0.0230072,0.03173462,0.00970424,..,..,..,..,..
Capital health expenditure (% of GDP),Armenia,..,..,..,..,..,..,..,..,..,..,0.26703176,0.17561361,0.16161799,0.19801274,0.35525134,0.4875426,0.68489075,0.79325992,0.39324841,0.50976384,0.17675264,0.14788459,0.07132375,0.03661397,0.07182167,0.10058226,0.14318842,0.06770249,0.02918381,0.03048215,0.05976043,..,..
Capital health expenditure (% of GDP),Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Australia,..,..,..,..,..,..,..,..,..,..,0.46583152,0.47337034,0.49550521,0.41798702,..,..,..,..,..,..,..,..,..,0.57014507,0.58936793,0.6155858,0.72001898,0.5034349,0.53678674,0.56263465,..,..,..
Capital health expenditure (% of GDP),Austria,..,..,..,..,..,..,..,..,..,..,0.61900604,0.5594148,0.59416533,0.6227321,0.626028,0.63117301,0.58508736,0.62098271,0.63839525,0.6615895,0.69369966,0.69619656,0.76213425,0.7328735,0.75300872,0.75837767,0.76080579,0.76645702,0.72154313,0.67126405,0.80341887,0.76973218,..
Capital health expenditure (% of GDP),Azerbaijan,..,..,..,..,..,..,..,..,..,..,0.82662147,0.79006773,0.74220681,0.57366729,0.5861665,0.47113311,0.0282727,0.02679736,0.02690784,0.09100612,0.42623338,0.2188856,0.26486921,0.17874944,0.30331784,0.18573005,0.22341746,0.14217067,0.18254007,0.16484322,..,..,..
Capital health expenditure (% of GDP),Bahamas,..,..,..,..,..,..,..,..,..,..,0.08110451,0.06423935,0.02691872,0.08357196,0.02880158,0.06955308,0.11031685,0.08116662,0.16351984,0.12833805,0.08300258,0.04522225,0.03459142,0.02123098,..,..,..,..,0.07820242,0.08885519,0.12182075,..,..
Capital health expenditure (% of GDP),Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Bangladesh,..,..,..,..,..,..,..,..,..,..,0.16058159,0.32786033,0.2481804,0.12581095,0.20294076,0.21659639,0.29515424,0.23133329,0.32386348,0.30333355,0.31765336,0.29739711,0.21763408,0.19029893,0.163561,0.18414079,0.08359105,0.0291157,..,..,..,..,..
Capital health expenditure (% of GDP),Barbados,..,..,..,..,..,..,..,..,..,..,0.10815493,0.1403503,0.16446161,0.20202523,0.14146276,0.12678361,0.12851098,0.06421332,0.11502925,0.06350112,0.08013599,0.1154611,0.1686551,0.08798546,0.12614654,0.16388306,0.15976328,0.07678612,0.18790331,0.39248982,..,..,..
Capital health expenditure (% of GDP),Belarus,..,..,..,..,..,..,..,..,..,..,0.50528544,0.45045045,0.40695524,0.31737635,0.36757594,0.59453034,0.48413861,0.53747386,0.64962363,0.6851995,0.70024049,0.57731491,0.577079,0.3016893,0.24985418,1.83071959,0.25761199,0.1653932,0.12676586,0.12495124,..,..,..
Capital health expenditure (% of GDP),Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Belize,..,..,..,..,..,..,..,..,..,..,0.20872957,0.15623325,0.09588917,0.09074359,0.06406385,0.10042258,0.04203824,0.02768511,0.04158368,0.06954768,0.02589807,0.02105774,0.01972514,0.04872073,0.08123683,0.04936341,0.02607863,0.10920924,0.01976329,0.03558018,0.09362658,..,..
Capital health expenditure (% of GDP),Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03778182,..,0.19567691,0.1956297,0.17296755,0.15050408,0.20301257,0.40050581,0.08695824,0.31712511,0.18978307,0.50466776,0.18267429,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Bhutan,..,..,..,..,..,..,..,..,..,..,1.62791955,1.04594326,2.50562716,0.99524826,0.78214937,0.94134027,0.83435845,1.74644685,1.63186657,2.20596027,1.22437096,1.02524066,0.8353731,1.18225503,0.94118506,0.57909006,0.6705513,0.90011787,0.85157996,0.5658282,0.59886932,..,..
Capital health expenditure (% of GDP),Bolivia,..,..,..,..,..,..,..,..,..,..,0.47667354,0.45469928,0.50811678,0.26577613,0.63099253,0.50050497,0.55146682,0.57667035,0.49854699,0.61395144,0.43285498,0.47406825,0.52506632,0.68399805,0.79155195,0.97720146,0.96726048,0.59475273,0.77348602,0.81315786,..,..,..
Capital health expenditure (% of GDP),Botswana,..,..,..,..,..,..,..,..,..,..,0.31869763,0.30348632,0.27064234,..,..,..,..,0.81080973,0.23291363,1.21439552,..,..,..,0.17689914,0.01509336,0.02407356,0.18414521,0.13817585,0.3231802,0.27252728,..,..,..
Capital health expenditure (% of GDP),Brazil,..,..,..,..,..,..,..,..,..,..,0.64031732,0.70088983,0.71736205,0.53237838,0.63670027,0.7050637,0.74211955,0.78216702,0.84121084,0.82504284,0.30873579,0.26323113,0.30566418,0.28242829,0.37300882,0.28954116,0.31721717,0.25351474,0.3363744,0.292492,0.21212886,..,..
Capital health expenditure (% of GDP),British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Brunei,..,..,..,..,..,..,..,..,..,..,0.20089091,0.20711391,0.19865261,0.18193324,0.15620755,0.13101681,0.11447912,0.14819938,0.1329198,0.1731302,0.16051364,0.12873879,0.10923452,0.11484607,0.12001477,0.14624818,0.16510034,0.15525168,0.0958964,0.06312925,..,..,..
Capital health expenditure (% of GDP),Bulgaria,..,..,..,..,..,..,..,..,..,..,0.19200069,0.34853664,0.30820078,0.21016489,0.17717887,0.17865802,0.13430731,0.30257711,0.35169521,0.15167768,0.04273636,0.05423769,0.06412901,0.06201226,0.0380272,0.03125007,..,..,..,..,0.09868272,..,..
Capital health expenditure (% of GDP),Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28792873,0.54439658,0.35728294,0.37635019,0.20242706,0.15946871,0.37227628,0.35071552,0.22920986,0.28752726,..,..
Capital health expenditure (% of GDP),Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,0.02578345,0.06352407,0.50329238,..,..,..,0.10800407,0.42581898,0.45808989,0.50633717,0.82893944,0.09365737,0.09443311,0.41067103,..,0.23678015,..,..,..,..
Capital health expenditure (% of GDP),Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3792021,0.35980394,0.35618934,0.29231834,0.31199399,0.08647659,0.21673608,0.80582416,0.36864075,..,..,..,..,..,..
Capital health expenditure (% of GDP),Cambodia,..,..,..,..,..,..,..,..,..,..,1.86819673,2.89343166,2.11917114,1.97432292,1.79846013,1.15206528,0.97187531,1.39248431,1.15727389,1.21132278,1.09052658,0.25176272,0.18570586,0.12574959,0.01884363,0.11671315,0.0606468,0.04164732,0.03425035,0.05146568,..,..,..
Capital health expenditure (% of GDP),Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.07812227,0.11039094,..,..,..
Capital health expenditure (% of GDP),Canada,..,..,..,..,..,..,..,..,..,..,0.35852587,0.3939335,0.41326061,0.44643751,0.41250724,0.4640432,0.48383656,0.61307919,0.47915494,0.54793304,0.58610934,0.55770832,0.55659932,0.48322913,0.43591252,0.45552984,0.42353997,0.38220248,0.38157806,0.38841924,0.47260767,0.44690365,..
Capital health expenditure (% of GDP),Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00585613,0.0168736,0.03225795,0.20133688,..,..,..,..
Capital health expenditure (% of GDP),Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.76795822,..,..,..,..,..,..,0.00902214,..,..,..,..
Capital health expenditure (% of GDP),Chile,..,..,..,..,..,..,..,..,..,..,0.10207532,0.10416553,0.10374542,0.09710093,0.10482077,0.13067754,0.17479673,0.20697252,0.1764521,0.28443229,0.26413688,0.28003272,0.26308751,0.27284515,0.25315607,0.32091045,0.30201206,0.24515237,0.24599814,..,..,..,..
Capital health expenditure (% of GDP),China,..,..,..,..,..,..,..,..,..,..,0.07100236,0.165416,0.19080716,0.20649566,0.26241753,0.29475245,0.29775921,0.27094328,0.29433998,0.41728345,0.4144913,0.39462852,0.40865189,0.4419699,0.49409622,0.57038069,0.6178003,0.63337505,0.63165569,0.58143049,0.62190121,..,..
Capital health expenditure (% of GDP),Colombia,..,..,..,..,..,..,..,..,..,..,0.46143726,0.42628688,0.37137103,0.35201803,0.27152318,0.34671679,0.3804234,0.51886499,0.59454489,0.62343246,0.61439013,0.69476378,0.82817262,0.82266259,0.86036724,..,0,..,..,..,..,..,..
Capital health expenditure (% of GDP),Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27327454,0.05789491,0.17342122,0.33307719,0.08135708,0.16931917,0.16257477,0.11055514,0.0617129,0.09406339,0.13557999,..,..
Capital health expenditure (% of GDP),Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.08624903,0.23643696,..,0.22599985,0.06589374,2.75927162,0.25754899,0.15959296,0.18201137,0.07520649,0.04368274,0.22733893,..,..
Capital health expenditure (% of GDP),Costa Rica,..,..,..,..,..,..,..,..,..,..,0.20213738,0.31177974,0.35047159,0.33798891,0.17173783,0.1593556,0.12714228,0.17328575,0.32830915,0.38158455,0.22506633,0.13584478,0.12656589,0.19533981,0.19350375,0.21174414,0.24311852,0.25388139,0.24196577,0.28705466,0.42787167,..,..
Capital health expenditure (% of GDP),Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.22506566,0.28207934,0.39865413,0.30387354,0.37695453,0.40043989,0.28421304,0.42957434,0.26408978,0.85787769,..,..
Capital health expenditure (% of GDP),Croatia,..,..,..,..,..,..,..,..,..,..,..,..,0.32610384,0.25449914,..,..,0.38428533,..,..,..,..,0.19788383,0.18918569,0.18335778,0.21891353,0.1898066,0.17454526,0.17203104,0.2287927,0.31960422,0.3259275,..,..
Capital health expenditure (% of GDP),Cuba,..,..,..,..,..,..,..,..,..,..,0.1496475,0.19891675,0.23520607,0.44125476,0.84744805,0.81817806,0.50286841,0.34401098,0.36188805,0.25297114,0.10293087,0.13069838,0.09844659,0.13184579,0.12799825,0.21806544,0.25456932,0.16551197,0.14662668,0.09368836,0.07871302,..,..
Capital health expenditure (% of GDP),Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,0.55273134,0.39692849,0.35082275,0.22499999,0.21128851,0.1841175,0.19812053,0.16383308,0.27544817,0.1095634,0.14281745,0.1531824,0.13475733,0.14527743,0.15312196,0.23134653,0.20121774,..,..,..
Capital health expenditure (% of GDP),Czechia,..,..,..,..,..,..,..,..,..,..,0.30424187,0.23410837,0.3081834,0.26582155,0.21638519,0.23526795,0.19192143,0.20370661,0.160679,0.20903116,0.18063203,0.13206485,0.12081336,0.09294918,0.08135834,0.08869461,0.10407722,0.07795929,0.11230958,0.10186018,0.11343522,..,..
Capital health expenditure (% of GDP),Denmark,..,..,..,..,..,..,..,..,..,..,0.37869895,0.41355389,0.38198331,0.36707816,0.41161996,0.42850363,0.45700422,0.41182503,0.39856341,0.41581926,0.50741273,0.57391447,0.69018865,0.6196664,0.65654248,0.62701356,0.59792393,0.62972784,0.60799408,0.59696072,0.64600271,0.60440671,..
Capital health expenditure (% of GDP),Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39950112,0.81210679,0.21615912,0.37442738,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Dominica,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0.00070636,0.00101729,0,0.00087873,0.00113177,0.13192229,0.64868498,0.45956385,0.28974462,0.60908329,0.40258348,0.08918918,0.08731899,1.23166561,0.22770032,0.59359962,0.6702494,..,..
Capital health expenditure (% of GDP),Dominican Republic,..,..,..,..,..,..,..,..,..,..,1.70317352,1.26817596,1.31673491,1.24062562,0.07181069,0.11243334,0.10427433,0.14479852,0.21905087,0.12578648,0.18908302,0.17518489,0.28087261,0.08474366,0.08639197,0.16807558,0.14283119,0.3129181,0.25978184,..,..,..,..
Capital health expenditure (% of GDP),Ecuador,..,..,..,..,..,..,..,..,..,..,0.08327742,0.09383414,0.11183491,0.18887244,0.22249672,0.22133134,0.24742532,0.25508547,0.24485695,0.40588611,0.38424411,0.3760561,0.39010748,0.47831389,0.4719806,0.59769768,0.66448396,0.84224993,0.38357785,0.30371851,0.21542637,..,..
Capital health expenditure (% of GDP),Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.19583559,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42633641,0.3281121,0.19238144,0.4065125,..,..
Capital health expenditure (% of GDP),Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05836016,0.42518237,0.2063521,0.20990938,0.30885896,0.33022612,0.22257973,0.36721483,0.51100546,0.41528231,0.25674915,0.16838066,0.08114436,0.06287456,0.11873401,..,..
Capital health expenditure (% of GDP),Estonia,..,..,..,..,..,..,..,..,..,..,0.11385943,0.06434744,0.11429733,0.04116908,0.03068282,0.0308553,0.05011449,0.07438419,..,..,..,..,0.46046472,0.46269897,0.24740344,0.61265951,0.40049824,0.23664057,0.26659253,0.2825515,0.41864955,..,..
Capital health expenditure (% of GDP),Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.56400126,..,..,..,..,..
Capital health expenditure (% of GDP),Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.48604342,..,..,0.33443406,..,..,0.2887629,..,..
Capital health expenditure (% of GDP),Fiji,..,..,..,..,..,..,..,..,..,..,0.19665207,0.17464583,0.27791524,0.14558452,0.18383008,0.11941721,0.18419144,0.11475421,0.07908583,0.37675601,0.18119368,0.20594653,0.19088431,0.28954294,0.35671431,0.37568724,0.40835673,0.30935383,..,0.20593902,..,..,..
Capital health expenditure (% of GDP),Finland,..,..,..,..,..,..,..,..,..,..,0.26885051,0.25363347,0.30253762,0.29750049,0.27853525,0.29704592,0.34690422,0.32281473,0.33112758,0.38594806,0.34978446,0.32435176,0.40370479,0.41439009,0.39652821,0.38810939,0.38370433,0.48525414,0.46117839,0.47738606,0.53417927,..,..
Capital health expenditure (% of GDP),France,..,..,..,..,..,..,..,..,..,..,0.23448093,0.22259784,0.23950942,0.38879821,0.41210809,0.42149493,0.61358356,0.60265553,0.64100444,0.643498,0.6484195,0.68656099,0.65992445,0.61225635,0.59724331,0.53016829,0.52599949,0.51588827,0.50288767,..,..,..,..
Capital health expenditure (% of GDP),Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.95836765,0.50379914,0.80424589,1.0551151,0.72477925,0.57113469,0.16015865,0.13134612,0.35308269,0.19014856,..,..,..
Capital health expenditure (% of GDP),Gambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01157365,0.02454222,0.21211629,..,..,..,..,..,..,0.43574414,..,0.14672662,0.09463828,0.23408702,0.272257,0.17795484,..,..,..
Capital health expenditure (% of GDP),Georgia,..,..,..,..,..,..,..,..,..,..,..,0.42267892,0.67840832,0.22714368,0.1980198,0.30970117,0.54313326,0.5151394,0.22437532,0.33529824,0.43075794,1.22453785,0.40401071,0.27279404,0.30673569,0.50304484,0.33764929,..,0.0702749,0.05368201,..,..,..
Capital health expenditure (% of GDP),Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05680817,0.07390864,0.24073,0.04250079,0.16224867,0.03177043,..,..,..,..,..
Capital health expenditure (% of GDP),Greece,..,..,..,..,..,..,..,..,..,..,0.35894498,0.48227972,0.48390818,0.41027382,0.37012979,0.36488232,0.36995971,0.34809574,0.37533846,0.21549067,0.15109491,0.12231429,0.11288156,0.10870594,0.22418474,0.23137191,0.20184627,0.22163287,0.17398532,0.18765306,..,..,..
Capital health expenditure (% of GDP),Grenada,..,..,..,..,..,..,..,..,..,..,0.4507134,0.51807457,0.58663994,0.44275409,0.40182772,0.31612301,0.20294824,0.27744728,0.11961354,0.26385057,0.13603419,0.14294167,0.03983644,0.0823778,0.15559874,0.25502685,0.22173311,0.30077618,0.17195028,0.24716707,0.24636412,..,..
Capital health expenditure (% of GDP),Guatemala,..,..,..,..,..,..,..,..,..,..,0.12265823,0.08849087,0.08203774,0.11535468,0.09713653,0.2160733,0.26160026,0.2530452,0.21840179,0.25779858,0.32388234,0.18798268,0.16200049,0.15876077,0.20184702,0.09010421,0.04332273,0.06498658,0.10343788,0.12013495,0.12326115,..,..
Capital health expenditure (% of GDP),Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05691324,0.04472893,0.03088718,0.26676938,0.53523672,0.39419037,0.28192675,0.24960864,0.18798488,..,..,..
Capital health expenditure (% of GDP),Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.64260447,..,..,..,0.08868791,0.0830757,0.17551759,..,..,..,..,..
Capital health expenditure (% of GDP),Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1442766,0.61020303,0.00908973,..,0.43114069,0.52935892,0.29961726,0.14094485,0.22753677,0.12381367,0.23273689,0.11412014,0.01870428,0.23711008,0.23649916,0.27025029,0.36497116,..,..
Capital health expenditure (% of GDP),Haiti,..,..,..,..,..,..,..,..,..,..,0.25597438,0.23102234,0.33781499,0.28528404,0.206522,0.16828193,0.23569308,0.12522562,0.14181395,0.12867291,0.18602778,0.34077534,0.31309444,0.49068323,0.20958008,0.22267249,0.16662404,0.09705565,0.09930998,0.15208527,0.44952889,..,..
Capital health expenditure (% of GDP),Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2627506,0.31972864,0.20490398,0.27350008,0.13803047,0.08132508,0.06970394,0.08871051,0.05291061,..
Capital health expenditure (% of GDP),Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Hungary,..,..,..,..,..,..,..,..,..,..,0.27227452,0.27644542,0.33424613,0.27271342,0.28781599,0.24547462,0.2254667,0.18144473,0.1739658,0.16079877,0.156018,0.22283068,0.19000587,0.19033118,0.27219266,0.46544749,0.10239821,0.15763752,0.1748254,0.25983542,0.40411061,..,..
Capital health expenditure (% of GDP),Iceland,..,..,..,..,..,..,..,..,..,..,0.27204752,0.2493024,0.28592363,0.22846188,0.17476942,0.20613734,0.19001138,0.25386617,0.19576943,0.14547549,0.1722223,0.13931943,0.19163652,0.18008821,0.22071938,0.19949389,0.22141778,0.23661408,0.36473116,0.30283612,0.28326222,..,..
Capital health expenditure (% of GDP),India,..,..,..,..,..,..,..,..,..,..,0.12192599,0.12733613,0.12551989,0.13055,0.14076087,0.1611494,0.18146034,0.18110794,0.17476563,0.1732502,0.17793332,0.19404872,0.19756313,0.28407836,0.25644132,0.24175881,0.27061391,0.37965727,0.29732746,..,..,..,..
Capital health expenditure (% of GDP),Indonesia,..,..,..,..,..,..,..,..,..,..,..,0.22897471,0.2422429,0.44289514,0.39647394,0.19221886,0.74896973,1.14058006,1.5462302,0.35963088,0.09928947,0.10745579,0.11114662,0.14210127,0.10707583,0.18466647,0.19835542,0.21494839,0.19273698,0.1916707,0.14868148,..,..
Capital health expenditure (% of GDP),Iran,..,..,..,..,..,..,..,..,..,..,0.20622592,0.20599018,0.1088507,0.10447499,0.11993296,0.11707243,0.14270622,0.14498505,0.18051848,0.13853261,0.13145712,0.16240786,0.08153889,0.08492956,0.18094368,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Ireland,..,..,..,..,..,..,..,..,..,..,0.48074436,0.59568429,0.60417187,0.51435995,0.58764768,0.39063862,0.29129568,0.44481793,0.43099058,0.39570031,0.34812281,0.41931844,0.29099309,0.50034779,0.45058897,0.3968949,0.42894474,0.38471976,0.37938884,0.29559562,0.33021426,..,..
Capital health expenditure (% of GDP),Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Israel,..,..,..,..,..,..,..,..,..,..,0.27885714,0.31626347,0.26667607,0.25878289,0.24068514,0.24286501,..,..,0.31997487,0.40367585,0.35264578,0.309636,0.25129557,0.26879007,0.24223898,0.30496737,..,..,0.24336965,..,..,..,..
Capital health expenditure (% of GDP),Italy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Jamaica,..,..,..,..,..,..,..,..,..,..,0.02831986,0.02371372,0.1378009,0.02474181,0.08848967,0.08883572,0.07608219,0.05157818,0.0557675,0.07199252,0.1304478,0.12717013,0.15358846,0.25416699,0.14379075,0.14946353,0.21943246,0.20040505,0.10491358,0.14401248,0.16384427,..,..
Capital health expenditure (% of GDP),Japan,..,..,..,..,..,..,..,..,..,..,0.13909192,0.12674899,0.11705254,0.12615038,0.11000691,0.08375409,0.07113206,0.06680888,0.07634441,0.09768809,0.07692989,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0.0067992,0.00248856,0,6.09E-06,0,1.214E-05,0.38903955,0.57496268,0.45127887,0.71857768,0.29063699,0.18649063,0.13455963,..,..,..,..,..,..
Capital health expenditure (% of GDP),Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.18803066,..,..,0.36365882,..,..,0.26410899,0.56966931,0.52812511,0.49177325,..,..,..
Capital health expenditure (% of GDP),Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.83224905,0.94496369,0.07229316,1.68066394,1.57369256,2.53554869,2.24876499,1.65887713,1.9357506,2.91134667,0.12327642,0.12185647,0.35333627,0.17295635,..,..
Capital health expenditure (% of GDP),South Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41635945,..,..
Capital health expenditure (% of GDP),Kuwait,..,..,..,..,..,..,..,..,..,..,0.16333938,0.22513089,0.19207869,0.21903493,0.1758292,0.12150879,0.10549711,0.11632547,0.14916709,0.25662383,0.29444662,0.24190816,0.24280612,0.29729512,0.41412985,0.59049112,0.34536004,0.56796497,0.60614449,0.43961766,0.53813636,..,..
Capital health expenditure (% of GDP),Kyrgyz Republic,..,..,..,..,..,..,..,..,..,..,0.26316595,0.50891274,0.84254384,0.00476917,0.01801783,0.01090199,0.13268892,0.02959873,0.00053194,0.00248481,0.00136135,0.01468588,0,0.01069534,0.01647142,0.19001646,0.1721492,0.20256713,0.27573386,0.34175575,..,..,..
Capital health expenditure (% of GDP),Laos,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.46774143,0.49394995,0.52695662,1.06680608,0.30749366,0.16087484,0.15148717,0.08441401,0.14001577,0.17523447,0.07238214,0.19914828,0.40121612,0.11953712,..,..,..
Capital health expenditure (% of GDP),Latvia,..,..,..,..,..,..,..,..,..,..,0.43265632,0.29259804,0.30801532,0.34676865,0.02169113,0.07990602,0.55390698,0.72764033,0.60202461,0.59736842,0.49443278,0.5449003,0.53995299,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Lebanon,..,..,..,..,..,..,..,..,..,..,0.00910148,0.01135982,0.00628935,0.00420766,0.00324472,0.02653131,0.00473508,..,..,0.00285206,..,..,0.01140034,0.01366027,0.01398134,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Lesotho,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0678387,0.01836148,0,0,0,0,0.02727261,3.24483776,3.25126767,2.34907007,1.69950318,0.48729742,0.76925606,0.1211655,0.25892186,..,..,..,..,..
Capital health expenditure (% of GDP),Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05605766,..,..,..,0.24629483,0.00752766,..,0.26888984,..,..,..
Capital health expenditure (% of GDP),Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
