Series Name,Country,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",Moldova,68.067,66.977,66.96,66.543,65.07,65.099,64.241,65.172,65.505,65.561,66.417,66.787,66.938,67.419,67.861,68.169,68.479,68.947,69.394,69.573,69.357,69.192,69.143,69.099,69.031,69.24,69.917,70.516,70.492,70.935,70.166,68.846,..
"Life expectancy at birth, total (years)",Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",Morocco,62.448,62.946,63.401,63.872,64.346,64.736,65.238,65.629,66.018,66.406,66.787,67.18,67.547,67.915,68.231,68.704,69.128,69.604,70.048,70.458,70.829,71.269,71.679,72.122,72.538,72.92,73.284,73.66,73.986,74.27,73.92,74.042,..
"Life expectancy at birth, total (years)",Mozambique,44.469,44.66,44.949,45.354,45.606,46.04,46.636,47.408,48.024,48.812,49.491,50.065,50.59,50.87,51.249,51.561,51.961,52.566,53.164,53.788,54.198,54.869,55.639,56.492,57.274,58.151,59.038,59.771,60.526,61.166,61.172,59.325,..
"Life expectancy at birth, total (years)",Myanmar,56.661,57.014,57.251,57.631,57.956,58.259,58.941,59.243,59.794,59.881,60.155,60.416,60.725,60.98,61.25,61.599,61.893,62.371,56.506,63.155,63.329,63.901,64.141,64.815,65.056,65.561,65.685,65.843,66.465,66.61,66.797,65.672,..
"Life expectancy at birth, total (years)",Namibia,62.496,62.098,61.545,60.86,59.846,58.634,56.918,55.558,54.101,53.036,51.99,51.26,51.254,51.083,51.246,51.787,52.655,53.68,54.653,55.496,56.015,56.553,57.64,58.694,59.822,60.7,61.682,62.293,62.586,63.075,62.829,59.269,..
"Life expectancy at birth, total (years)",Nepal,54.833,55.712,56.71,57.619,58.553,59.318,59.981,60.771,61.549,62.113,62.614,63.336,63.264,64.197,64.818,65.457,65.868,66.329,66.421,66.761,66.814,67.313,67.47,67.965,68.085,67.456,68.776,68.91,68.979,69.558,69.246,68.45,..
"Life expectancy at birth, total (years)",Netherlands,76.8780487804878,77,77.2170731707317,76.9165853658537,77.3751219512195,77.4046341463415,77.4356097560976,77.7943902439024,77.8829268292683,77.8365853658537,77.9878048780488,78.190243902439,78.2926829268293,78.4926829268293,79.0951219512195,79.3463414634146,79.6975609756098,80.0975609756098,80.2512195121951,80.5487804878049,80.7024390243902,81.2048780487805,81.1048780487805,81.3048780487805,81.7073170731707,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512,82.1121951219512,81.3585365853659,81.4609756097561,..
"Life expectancy at birth, total (years)",New Zealand,75.3780487804878,76.0317073170732,76.1243902439025,76.4341463414634,76.8829268292683,76.7341463414634,76.7878048780488,77.3341463414634,78.0853658536585,77.890243902439,78.6365853658537,78.6926829268293,78.8463414634146,79.1463414634146,79.5487804878049,79.8512195121951,80.0487804878049,80.1512195121951,80.3512195121951,80.7024390243902,80.9048780487805,81.1560975609756,81.4073170731707,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659,81.8585365853659,81.7073170731707,82.0560975609756,82.2560975609756,82.2073170731707,..
"Life expectancy at birth, total (years)",Nicaragua,63.096,63.931,64.266,64.685,65.181,65.608,66.052,66.515,65.209,67.12,67.234,67.215,67.18,67.217,67.423,67.936,68.725,69.559,70.586,71.433,72.009,72.416,72.615,72.704,72.812,72.983,73.256,73.554,73.85,74.054,71.795,73.837,..
"Life expectancy at birth, total (years)",Niger,41.852,42.218,42.947,43.817,44.714,45.774,46.676,47.505,48.191,48.738,49.322,49.841,50.562,51.434,52.589,53.59,54.596,55.553,56.508,57.396,58.367,58.994,59.65,60.239,60.786,61.083,61.629,62.16,62.454,62.897,61.451,61.576,..
"Life expectancy at birth, total (years)",Nigeria,46.037,45.691,45.668,45.788,45.513,45.487,45.567,45.792,46.036,46.614,47.193,47.619,47.928,48.441,48.767,49.297,49.73,50.033,50.225,50.712,50.945,51.357,51.497,51.707,51.791,51.841,52.043,52.305,52.554,52.91,52.887,52.676,..
"Life expectancy at birth, total (years)",North Macedonia,71.2338048780488,71.8444390243903,71.2440731707317,71.9252926829268,71.6926829268293,71.8487804878049,72.4951219512195,72.4463414634146,72.2975609756098,72.790243902439,72.9463414634147,73.4365853658537,73.0390243902439,73.2414634146342,73.5975609756098,73.6975609756098,73.8951219512195,73.8,74.4,74.4463414634146,74.9975609756098,75.1,74.9024390243903,75.4,75.4512195121951,75.4024390243902,75.4,75.9536585365854,76.6487804878049,76.6024390243903,74.3951219512195,74.5368292682927,..
"Life expectancy at birth, total (years)",Norway,76.5373170731707,76.9807317073171,77.1843902439025,77.1517073170732,77.689756097561,77.7365853658537,78.1504878048781,78.1426829268293,78.3292682926829,78.2829268292683,78.6341463414634,78.7853658536585,78.9878048780488,79.390243902439,79.8414634146342,80.0414634146342,80.3439024390244,80.3951219512195,80.5926829268293,80.7951219512195,80.9975609756098,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,83.1634146341463,..
"Life expectancy at birth, total (years)",Oman,69.782,70.189,70.656,71.165,71.385,71.99,72.191,72.415,72.97,73.184,73.466,73.808,73.869,74.14,74.329,74.396,74.48,74.461,74.612,74.681,76.269,76.608,77.061,77.246,77.446,77.687,77.916,77.924,77.966,78.002,74.757,72.541,..
"Life expectancy at birth, total (years)",Pakistan,60.066,60.259,60.116,59.934,60.116,59.878,60.398,60.603,61.09,61.679,62.102,62.421,62.626,62.843,63.052,62.466,63.731,63.852,64.036,64.14,64.436,64.648,64.782,65.15,65.284,65.697,65.88,66.297,66.482,66.756,66.269,66.098,..
"Life expectancy at birth, total (years)",Palau,69.0692682926829,..,..,..,..,71.8446341463415,..,..,..,..,70.4936585365854,..,..,..,..,69.1292682926829,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",Panama,71.097,71.207,71.462,71.8,72.096,72.385,72.675,72.97,73.279,73.622,74.001,74.414,74.824,75.218,75.544,75.829,76.012,76.154,76.225,76.343,76.448,76.627,76.819,77.038,77.248,77.468,77.653,77.795,77.863,77.81,76.657,76.223,..
"Life expectancy at birth, total (years)",Papua New Guinea,59.721,59.908,60.218,60.506,60.756,61.049,61.105,61.377,60.629,61.672,61.72,61.773,61.698,61.797,61.761,61.801,61.917,62.034,62.571,62.788,63.039,63.526,63.733,63.961,64.259,64.701,64.84,65.103,65.182,65.474,65.787,65.351,..
"Life expectancy at birth, total (years)",Paraguay,67.944,68.173,68.395,68.633,68.824,69.009,69.202,69.325,69.478,69.634,69.75,69.9,70.025,70.297,70.481,70.527,70.781,71.106,71.384,71.635,71.887,72.131,72.454,72.757,72.878,73.191,73.534,73.644,73.568,73.621,73.182,70.262,..
"Life expectancy at birth, total (years)",Peru,65.106,65.434,66.149,66.681,67.227,67.644,68.147,68.605,69.082,69.743,70.424,71.041,71.661,72.217,72.668,72.986,73.172,73.223,73.377,73.466,73.711,74.133,74.544,74.967,75.333,75.621,75.789,75.879,76.009,76.156,73.665,72.377,..
"Life expectancy at birth, total (years)",Philippines,65.909,66.304,67.088,67.542,67.942,68.223,68.614,68.884,69.1,69.298,69.413,69.614,69.781,69.924,70.037,70.24,70.282,70.483,70.564,70.633,70.754,70.788,70.881,70.835,71.151,71.268,71.387,71.516,71.689,71.865,72.119,69.266,..
"Life expectancy at birth, total (years)",Poland,70.890243902439,70.5878048780488,71.090243902439,71.5951219512195,71.6951219512195,71.8926829268293,72.2463414634146,72.6463414634146,72.9975609756098,73.0439024390244,73.7487804878049,74.2,74.4975609756098,74.5975609756098,74.8463414634146,74.9951219512195,75.1439024390244,75.2439024390244,75.5439024390244,75.6951219512195,76.2463414634146,76.6951219512195,76.7463414634146,77,77.6024390243903,77.4512195121951,77.8512195121951,77.7536585365854,77.6024390243903,77.9048780487805,76.5,75.6024390243903,..
"Life expectancy at birth, total (years)",Portugal,73.9658536585366,74.0146341463415,74.3121951219512,74.5121951219512,74.9146341463415,75.3121951219512,75.2609756097561,75.4121951219512,75.7121951219512,75.9634146341463,76.3146341463415,76.8146341463415,77.0658536585366,77.219512195122,77.6707317073171,78.0707317073171,78.419512195122,78.3219512195122,78.5243902439025,78.7268292682927,79.0268292682927,80.4707317073171,80.3731707317073,80.7219512195122,81.1219512195122,81.1243902439025,81.1243902439025,81.4243902439025,81.3243902439024,81.6756097560976,80.9756097560976,81.0731707317073,..
"Life expectancy at birth, total (years)",Qatar,73.982,73.966,74.122,74.243,74.348,74.25,74.685,74.787,74.809,74.8,74.828,75.263,75.412,75.565,75.961,76.064,76.57,77.016,77.427,77.878,78.425,78.891,79.227,79.536,79.768,80.064,80.433,80.717,80.898,80.99,79.099,79.272,..
"Life expectancy at birth, total (years)",Romania,69.7412195121951,69.7843902439024,69.7843902439024,69.5634146341464,69.509756097561,69.4560975609756,69.1048780487805,69.0048780487805,69.8073170731708,70.5121951219512,71.1634146341463,71.1609756097561,71.009756097561,71.309756097561,71.5609756097561,71.9121951219512,72.1634146341463,72.5658536585366,72.5658536585366,73.309756097561,73.4585365853659,74.409756097561,74.4121951219512,75.0634146341463,74.909756097561,74.9121951219512,75.209756097561,75.309756097561,75.3585365853659,75.6073170731707,74.2536585365854,72.9609756097561,..
"Life expectancy at birth, total (years)",Russian Federation,68.8860975609756,68.4743902439024,66.8731707317073,64.9358536585366,64.4670731707317,64.6907317073171,65.8541463414634,66.6987804878049,67.029756097561,65.9821951219512,65.4836585365854,65.3834146341463,65.1287804878049,65.0275609756098,65.4709756097561,65.529756097561,66.7275609756098,67.5868292682927,67.9492682926829,68.6846341463415,68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,73.0839024390244,71.3387804878049,69.3612195121951,..
"Life expectancy at birth, total (years)",Rwanda,48.431,46.519,44.319,42.166,14.098,39.969,40.698,40.64,41.681,44.616,47.129,49.021,51.032,53.368,55.491,57.316,58.714,59.965,61.134,61.958,62.54,63.261,64.009,64.426,64.94,65.298,65.737,65.941,66.251,66.437,66.774,66.072,..
"Life expectancy at birth, total (years)",Samoa,67.658,67.881,68.385,68.701,68.98,69.298,69.588,69.875,70.171,70.456,70.746,71.019,71.276,71.496,71.696,71.754,72.021,72.1,72.155,70.066,72.249,72.26,72.167,72.391,72.463,72.515,72.54,72.59,72.636,72.157,72.768,72.767,..
"Life expectancy at birth, total (years)",San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",Sao Tome and Principe,61.471,61.429,61.284,61.138,61.069,61.056,61.097,61.181,61.187,61.393,61.655,62.032,62.6,63.166,63.731,63.709,64.398,64.724,65.079,65.116,65.249,64.902,65.746,66.328,66.845,67.249,67.492,68.267,68.355,68.523,67.785,67.591,..
"Life expectancy at birth, total (years)",Saudi Arabia,68.948,69.366,69.925,70.303,70.705,71.011,71.273,71.483,71.879,72.136,72.467,72.974,73.337,73.628,74.153,74.588,74.81,75.046,75.274,75.431,75.763,76.234,76.461,76.626,76.757,76.918,77.064,77.16,77.212,77.304,76.239,76.936,..
"Life expectancy at birth, total (years)",Senegal,56.948,57.139,57.112,56.996,56.955,56.839,56.672,56.591,56.418,56.609,56.943,57.564,58.231,59.122,60.027,60.915,61.75,62.543,63.242,63.923,64.615,65.262,65.457,66.072,66.452,66.879,67.497,67.75,68.097,68.526,68.006,67.093,..
"Life expectancy at birth, total (years)",Serbia,70.2292195121951,70.6177073170732,70.8009268292683,70.9655609756098,71.2506585365854,71.6894878048781,71.485243902439,71.5843658536585,71.1872926829268,69.7154390243902,71.5829268292683,72.2341463414634,72.2853658536585,72.4365853658537,72.6829268292683,72.8341463414634,73.3853658536585,73.6317073170732,73.8853658536585,73.9853658536585,74.3365853658537,74.5365853658537,74.8365853658537,75.1853658536585,75.3365853658537,75.2878048780488,75.6878048780488,75.5390243902439,75.890243902439,75.9365853658537,74.4780487804878,72.7307317073171,..
